Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location,Longitude,Latitude
21327,2021,08/01/2022,Plainfield,58 HIGH MEADOW DR,156650.00,380000.00,0.4122,Residential,Single Family,,,,POINT (-71.889665002 41.673608009),-71.889665002,41.673608009
2100973,2021,02/23/2022,Stamford,30 HANOVER STREET,279270.00,470000.00,0.5941,Residential,Single Family,,,,POINT (-73.525412014 41.046307004),-73.525412014,41.046307004
210006,2021,11/15/2021,Washington,63 WYKEHAM RD,360160.00,885000.00,0.4069,Residential,Single Family,,,,POINT (-73.302255996 41.63535602),-73.302255996,41.63535602
210168,2021,09/06/2022,Somers,50 OLD FARM ROAD,201500.00,382000.00,0.5274,Residential,Single Family,,,,POINT (-72.484528 41.998834988),-72.484528,41.998834988
21075,2021,04/26/2022,North Stonington,47 HEWITT RD,53620.00,80000.00,0.6702,Vacant Land,,,,,POINT (-71.88896604 41.449722882),-71.88896604,41.449722882
210321,2021,02/01/2022,Norwich,287 WEST MAIN ST,83100.00,195000.00,0.4261,Residential,Three Family,,,,POINT (-72.088999987 41.523283981),-72.088999987,41.523283981
211102,2021,06/03/2022,Norwalk,1 FOREST ST,220830.00,401000.00,0.5506,Residential,Single Family,,,,POINT (-73.420053 41.120231995),-73.420053,41.120231995
210331,2021,11/30/2021,Norwalk,81 OLD SAUGATUCK RD,499370.00,810000.00,0.6165,Residential,Single Family,,3-54-3-0,,POINT (-73.391047005 41.101254989),-73.391047005,41.101254989
212031,2021,08/05/2022,Waterbury,65 FERN ST,88830.00,294000.00,0.3021,Residential,Single Family,,,,POINT (-73.038859969 41.575170016),-73.038859969,41.575170016
2101431,2021,05/03/2022,Stamford,36 NORTHWOODS ROAD,320770.00,455000.00,0.7049,Residential,Single Family,,,,POINT (-73.545380977 41.075812015),-73.545380977,41.075812015
210913,2021,05/19/2022,Norwalk,5 WAKEFIELD RD,104120.00,405219.00,0.2569,Vacant Land,,14 - Foreclosure,,,POINT (-73.43070598 41.15797998),-73.43070598,41.15797998
210927,2021,02/15/2022,Waterbury,412 PEARL LAKE RD,67350.00,260000.00,0.259,Residential,Two Family,,,,POINT (-73.029729981 41.526355991),-73.029729981,41.526355991
210032,2021,11/04/2021,Putnam,191 LIBERTY HGWY,127200.00,340000.00,0.3741,Residential,Single Family,,,,POINT (-71.86599501 41.901144996),-71.86599501,41.901144996
210044,2021,10/18/2021,Torrington,ELMIRA AVE LOT,27780.00,28500.00,0.9747,Vacant Land,,,,,POINT (-73.096143451 41.81118096),-73.096143451,41.81118096
21076,2021,01/25/2022,Thompson,1 BEATTIE AVE,185000.00,370000.00,0.5,Residential,Single Family,,,,POINT (-71.889419999 41.970888005),-71.889419999,41.970888005
21023,2021,10/12/2021,Southbury,362 B HERITAGE VILLAGE,51600.00,215000.00,0.24,Residential,Condo,07 - Change in Property,,RECENTLY RENOVATED PER MLS,POINT (-73.23197399 41.476137997),-73.23197399,41.476137997
210021,2021,10/13/2021,Wallingford,10 GEORGE ST,241000.00,100000.00,2.41,Commercial,,25 - Other,BUYER IS ABUTTER,,POINT (-72.828976024 41.449755999),-72.828976024,41.449755999
2132257,2021,07/08/2022,North Haven,39 BLEEKER CIR,308110.00,439900.00,0.700409184,Residential,Condo,07 - Change in Property,NOT 100% ON 10/01/2021,,POINT (-72.85793 41.39345),-72.85793,41.39345
210391,2021,04/07/2022,Wallingford,9 LILY LN,166600.00,340000.00,0.49,Residential,Condo,,,,POINT (-72.846258 41.445335006),-72.846258,41.445335006
